candidate,prompt,seconds
claude-haiku-4-5,threat_assessment,1.574514799998724
claude-haiku-4-5,threat_assessment,1.49513389999629
claude-haiku-4-5,threat_assessment,1.4641898999980185
claude-haiku-4-5,threat_assessment,1.3486028000043007
claude-haiku-4-5,threat_assessment,1.5015703000026406
claude-haiku-4-5,threat_assessment,1.3445246999981464
claude-haiku-4-5,threat_assessment,1.605226899999252
claude-haiku-4-5,threat_assessment,2.424562899999728
claude-haiku-4-5,dialogue_generation,1.5507081000032485
claude-haiku-4-5,dialogue_generation,1.0075777000020025
claude-haiku-4-5,dialogue_generation,6.681132700003218
claude-haiku-4-5,dialogue_generation,1.292620899999747
claude-haiku-4-5,dialogue_generation,1.3038304000001517
claude-haiku-4-5,dialogue_generation,1.7033173000017996
claude-haiku-4-5,dialogue_generation,1.2261243000029936
claude-haiku-4-5,dialogue_generation,1.5004093000025023
claude-haiku-4-5,memory_tagging,1.7310256999990088
claude-haiku-4-5,memory_tagging,2.4268312999993213
claude-haiku-4-5,memory_tagging,1.63603460000013
claude-haiku-4-5,memory_tagging,1.694600900002115
claude-haiku-4-5,memory_tagging,1.5062867000015103
claude-haiku-4-5,memory_tagging,1.568599300000642
claude-haiku-4-5,memory_tagging,1.5372403000001214
claude-haiku-4-5,memory_tagging,1.590666100004455
claude-sonnet-5,threat_assessment,2.4082090000010794
claude-sonnet-5,threat_assessment,2.7435141999958432
claude-sonnet-5,threat_assessment,2.4292519000009634
claude-sonnet-5,threat_assessment,2.658207799999218
claude-sonnet-5,threat_assessment,2.400731800000358
claude-sonnet-5,threat_assessment,2.516129399999045
claude-sonnet-5,threat_assessment,2.7474685000051977
claude-sonnet-5,threat_assessment,3.30076530000224
claude-sonnet-5,dialogue_generation,1.6845841000031214
claude-sonnet-5,dialogue_generation,2.134635400005209
claude-sonnet-5,dialogue_generation,1.9757477999955881
claude-sonnet-5,dialogue_generation,1.996933499998704
claude-sonnet-5,dialogue_generation,2.3440704999957234
claude-sonnet-5,dialogue_generation,2.0195284000001266
claude-sonnet-5,dialogue_generation,1.7415897000028053
claude-sonnet-5,dialogue_generation,1.7960374000031152
claude-sonnet-5,memory_tagging,2.320969200001855
claude-sonnet-5,memory_tagging,2.0969502000007196
claude-sonnet-5,memory_tagging,2.18907809999655
claude-sonnet-5,memory_tagging,2.4280423000018345
claude-sonnet-5,memory_tagging,2.948296800001117
claude-sonnet-5,memory_tagging,3.114742400000978
claude-sonnet-5,memory_tagging,2.0763755000007222
claude-sonnet-5,memory_tagging,2.0860581000015372
claude-opus-4-8,threat_assessment,2.2324735000001965
claude-opus-4-8,threat_assessment,2.065079700005299
claude-opus-4-8,threat_assessment,2.372195299998566
claude-opus-4-8,threat_assessment,2.075034500005131
claude-opus-4-8,threat_assessment,4.110932399999001
claude-opus-4-8,threat_assessment,2.8240630000000237
claude-opus-4-8,threat_assessment,3.43865299999743
claude-opus-4-8,threat_assessment,1.982812299997022
claude-opus-4-8,dialogue_generation,1.7900656999991043
claude-opus-4-8,dialogue_generation,1.7622236000024714
claude-opus-4-8,dialogue_generation,1.8836501000041608
claude-opus-4-8,dialogue_generation,1.9224538999988
claude-opus-4-8,dialogue_generation,1.9951785000012023
claude-opus-4-8,dialogue_generation,2.001929199999722
claude-opus-4-8,dialogue_generation,2.3610211000050185
claude-opus-4-8,dialogue_generation,2.4759006000022055
claude-opus-4-8,memory_tagging,2.3323185999979614
claude-opus-4-8,memory_tagging,2.4506641999978456
claude-opus-4-8,memory_tagging,2.2011266999979853
claude-opus-4-8,memory_tagging,2.402931399999943
claude-opus-4-8,memory_tagging,2.223084299999755
claude-opus-4-8,memory_tagging,3.551642399994307
claude-opus-4-8,memory_tagging,2.8102919000011752
claude-opus-4-8,memory_tagging,2.3273520000002463
